"","Grouping","DGKE","MGAT3-AS1","NPPA","B2M","MB","ALB","LCN2","PIK3C2A","CST3","SLC22A12","REN","GPT","ADAMTS13","CFH","HGF","SLK","IL18","HP","CPT2","AMBP","SLC22A6","UMOD","HAVCR1","MAP4K2","PRTN3","F2","KNG1","MIR21","RBP4","BMAL2","SLC9A3","HMGCR","CBS","FABP1","XDH","IL6","HPRT1"
"Kidney_1457_pre",1,5.9798119073042,0.13745408148322,0.0600457303321437,7773.38717447804,0.0328150204116221,0,21.8756225575619,14.0836073149093,126.259396092258,0,0,0.0657471086787193,0.370888628939485,0.86734621291277,0.387199241531581,6.59421335943496,8.69755805429196,3.1013189140911,1.24273971706319,0,0,0,0.0333442949343902,6.85287545264022,0.277414924330877,0,0.024605367569606,0,0,0.0917389490513554,0.0924196209432634,12.0471720812193,0.889156089594582,0,0.00598881299900645,0.582762097919037,6.28091252334509
"Kidney_1468_pre",1,7.38662852701763,0.0698249261428523,0.26435472037943,13403.3218261821,0,0.147093118524283,12.670753873484,19.3509723281657,100.577663798332,0.00668965240845334,0,0.171764719523745,0.11775419308886,1.13863141235796,1.91327957547893,24.4924644534459,13.3104724593413,7.09510465292761,2.37058081968205,0,0,0,0.131743717543832,8.02543100671221,0.105692441395564,0.0855069177519847,0,0,0.0264633281728618,0.209080230164348,0.0563375911741249,25.6929608130232,3.39741906263816,0,0,0.136631879053597,10.7932818092386
"Kidney_1476_pre",1,15.0073683387933,0,0.269801636338235,12785.8040217058,0,0,177.172339520948,32.7267860575249,95.2206005165705,0,0,0.0633041709849591,0.484327285549944,2.57479260920054,0.707778392756003,18.4585580601807,10.7946597000327,32.6170655528732,2.07689281118242,0,0,0,0.10987159081018,11.2257790396341,4.11344987195315,0,0.0331675627705523,0,0.0351111718522361,0.230613554560623,0.0996638987877693,23.638795533482,0.990119182751799,0,0,0.98194014011116,8.2185059740063
"Kidney_1484_pre",1,7.3752903642213,0,0.326828008308453,10659.4464036847,0.0382739278323143,0.0675460350746258,42.2970005850234,20.6364585633503,175.222729764829,0,0.081914582891458,0.0219098280620768,0.168979456184828,0.545599636388663,0.612412367544531,8.48937675362123,12.1733171618971,22.1197853453313,1.99672486418267,0,0,0,0.0604974988317227,8.90890334866667,0.889800960527138,0.0327210710894294,0,0,0.0303802943143865,0.153270389498877,0.0395244621080236,11.817173862371,0.368235246559881,0,0,0.274497001084211,8.79950524673795
"Kidney_1489_pre",1,15.4872232545184,0.130757031737952,0.126933726716374,5500.84965666627,0,0,8.47237720032251,38.2472115647705,91.0237659646773,0,0.0445396729175786,0.0238261989774972,1.19076129275211,1.10011639344903,0.230673872239801,17.5486728599806,9.60058359952883,0.933881381825944,2.37242380296684,0.068797677554675,0,0,0.197366968018402,4.75902904851538,0.0439831150324214,0.106749183287705,0,0,0.0991126359292236,0.588084581166255,0.156296433976597,15.4720809395493,0.294203321410391,0,0,1.13716658905042,6.11492991865268
"Kidney_1494_pre",1,6.64240012630418,0.0738204676530664,0.150490146338356,13112.7995791922,0,0.186612146655975,50.115044082852,15.7735293415905,105.102306426242,0.00707244957507254,0,0.070619689966682,0.199187770490902,3.44387615638203,1.68563483003141,14.959608835896,10.7560883047134,5.73966166717658,2.1997624127207,0.0582608445185849,0,0,0.179077363076988,8.4820925811716,2.38379528372698,0.150666364308308,0,0,0.0279776201607512,0.295613431681122,0.115813748982263,15.1760747973652,0.581336182767897,0,0,0.361125666907928,14.0066796571234
"Kidney_1501_pre",1,8.04177753272061,0,0.339522272328139,8590.60721649078,0,0,27.0626877268157,11.5513235119299,68.7201965045902,0.037231184152951,0,0.13277147038079,0.109226603017857,2.98483774434262,0.558401817447462,9.11758497699894,6.42433969961554,4.34196752111947,1.85831521599386,0,0,0,0.087287875815039,7.1305852912346,0.326794487043295,0.290820307035168,0,0,0,0.0911279353068498,0.0435480862347073,12.0135380763177,0.18823288629638,0,0,0.126737193992822,7.28330035800685
"Kidney_1505_pre",1,13.6026916391912,0,0.198117280630862,7981.53895184282,0,0.0818903915588046,14.0397599848684,17.2717014264266,125.897580226231,0,0,0.371877661776921,0.622788490899978,2.20488480233501,0.821276126108005,13.71780192933,11.3458687557517,2.46087566497899,1.95453765610472,0,0.0136100172697563,0,0.115256426829138,9.7749250184895,0.0980693442983861,0.357028682542034,0,0,0,0.227891871322188,0.213453091732801,18.2683473456617,0.482878903387883,0,0,1.22023118816847,8.51721710140698
"Kidney_1508_pre",1,8.29285155685099,0,0.305894369963939,7148.99293792976,0,0,120.938973464509,10.6614773260207,43.6115039173795,0.00628943070217314,0,0.134573795787168,0.226954096238696,1.14498083062563,0.610812174511255,12.2507969205015,5.14936195591768,15.9199923142453,1.3808597740082,0.0129526389817338,0,0,0.120322977577015,7.34631202302686,1.19243018078648,0.107188396032446,0.0235028474406154,0,0,0.156309940027031,0.0647375461186059,10.4818095934615,0.726225597365912,0,0,0.652992831756272,6.73769353196781
"Kidney_1511_pre",1,6.66171735559173,0,0.300202826245016,5503.69468129493,0,0.0241279767286604,70.9954903175788,7.65347600808269,65.0709724675414,0,0,0.164353632919541,0.338020452849536,3.0208336786728,0.955693690510039,7.74104841113658,5.7717567188774,11.1641595372963,0.929861292111277,0,0,0,0.0987894124036425,7.4141319239552,0.837952164442776,0.233764495846529,0.0205027091971794,0,0.0217041617148223,0.231393659174658,0.0487728264061435,8.37517251481494,0.708686641775697,0,0,1.41008825883587,8.93399306921997
"Kidney_1512_pre",1,7.8361956179816,0,0.0857429187754332,7881.12341187613,0,0,43.7224426897729,10.1589614992616,66.0483365595383,0.00705176948374331,0,0.090531251368957,0.23584383940178,4.87412604260377,0.760244571641451,7.73658126060741,7.30080930987935,4.51617567128948,1.60934756817895,0.0290452438799506,0,0,0.0436464684500406,8.17777436751443,0.371378903510615,0.150225810559417,0,0,0,0.084972698409731,0.0527886196601227,9.52276766977054,0.427826818927496,0.0731638678173607,0,0.204039509561382,7.68574630797533
"Kidney_1515_pre",1,9.45919224872,0,0.267282211272612,8641.27609832944,0,0.110479231635525,5.67850873805885,14.8170126563837,52.8445935094325,0,0,0.215016111624353,0.226635816268236,2.95604297197001,1.14996211190867,12.4421676791583,4.24525552990684,2.12820162635578,1.09467153457612,0,0,0,0.0424073777202394,5.53855018886399,0.148844739885856,0,0.082144604830368,0,0.0248452153335599,0.201025941799862,0.11460107155568,9.68820693531956,0.467082564772331,0,0.00571244321055077,0.630697499656045,8.37812719390005
